#Teff,Styp,nH,U,dZ,T_H0,T_H+,T_H2
38151,6,1,-3,0,3.721,3.732,3.658
40062,5.5,1,-3,0,3.774,3.785,3.664
41540,5,1,-3,0,3.783,3.796,3.664
43419,4,1,-3,0,3.796,3.81,3.665
44616,3,1,-3,0,3.805,3.82,3.67
30488,9.5,1,-2,0,3.744,3.707,3.688
31524,9,1,-2,0,3.757,3.725,3.687
32522,8.5,1,-2,0,3.766,3.742,3.678
33383,8,1,-2,0,3.775,3.756,3.675
34419,7.5,1,-2,0,3.785,3.772,3.672
35531,7,1,-2,0,3.793,3.782,3.672
36826,6.5,1,-2,0,3.798,3.784,3.674
38151,6,1,-2,0,3.802,3.784,3.671
40062,5.5,1,-2,0,3.818,3.794,3.668
41540,5,1,-2,0,3.833,3.802,3.673
43419,4,1,-2,0,3.846,3.814,3.677
44616,3,1,-2,0,3.856,3.824,3.683
30488,9.5,1,-1,0,3.705,3.707,3.701
31524,9,1,-1,0,3.721,3.722,3.718
32522,8.5,1,-1,0,3.729,3.732,3.719
33383,8,1,-1,0,3.732,3.738,3.709
34419,7.5,1,-1,0,3.704,3.712,3.68
35531,7,1,-1,0,3.665,3.666,3.663
36826,6.5,1,-1,0,3.643,3.642,3.648
38151,6,1,-1,0,3.645,3.644,3.65
40062,5.5,1,-1,0,3.676,3.675,3.681
41540,5,1,-1,0,3.689,3.688,3.694
43419,4,1,-1,0,3.708,3.708,3.713
44616,3,1,-1,0,3.724,3.723,3.728
30488,9.5,1.25,-3,0,3.623,3.624,3.616
31524,9,1.25,-3,0,3.635,3.638,3.621
32522,8.5,1.25,-3,0,3.639,3.645,3.616
33383,8,1.25,-3,0,3.645,3.656,3.617
34419,7.5,1.25,-3,0,3.693,3.672,3.656
35531,7,1.25,-3,0,3.703,3.693,3.657
36826,6.5,1.25,-3,0,3.712,3.713,3.659
38151,6,1.25,-3,0,3.727,3.739,3.658
40062,5.5,1.25,-3,0,3.777,3.79,3.66
41540,5,1.25,-3,0,3.786,3.8,3.661
43419,4,1.25,-3,0,3.799,3.814,3.663
44616,3,1.25,-3,0,3.807,3.823,3.667
30488,9.5,1.25,-2,0,3.75,3.716,3.687
31524,9,1.25,-2,0,3.762,3.733,3.687
32522,8.5,1.25,-2,0,3.771,3.749,3.677
33383,8,1.25,-2,0,3.78,3.763,3.678
34419,7.5,1.25,-2,0,3.789,3.777,3.669
35531,7,1.25,-2,0,3.797,3.786,3.674
36826,6.5,1.25,-2,0,3.801,3.788,3.669
38151,6,1.25,-2,0,3.806,3.788,3.67
40062,5.5,1.25,-2,0,3.821,3.798,3.668
41540,5,1.25,-2,0,3.834,3.805,3.665
43419,4,1.25,-2,0,3.848,3.818,3.673
44616,3,1.25,-2,0,3.858,3.827,3.68
30488,9.5,1.25,-1,0,3.711,3.713,3.708
31524,9,1.25,-1,0,3.725,3.727,3.722
32522,8.5,1.25,-1,0,3.732,3.735,3.723
33383,8,1.25,-1,0,3.736,3.741,3.715
